Jogo nº 061;;;;AA CAMILÓPOLIS;;;;;;;;vs;ATIBAIA FUTSAL;;;;;;;;;;;;;;;;;
AE CHUTE FUTSAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4ª RODADA - Grupo B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/05/26;;08h30;;Local: Ginásio do Acadêmicos da Cidade Dutra;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 062;;;;AE FRIBURGO;;;;;;;;vs;INST BONS DE BOLA/CONEXÃO 29;;;;;;;;;;;;;;;;;
01/05/26;;08h30;;Local: Ginásio José de Souza Sobrinho (Ze do Feijão);;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 063;;;;TABOÃO F9;;;;;;;;vs;JUBA FUTSAL;;;;;;;;;;;;;;;;;
02/05/26;;14h30;;Local: Quadra da Tânia - Itapevi;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 064;;;;AD OLIMPIK;;;;;;;;vs;AE METRÓPOLE;;;;;;;;;;;;;;;;;
02/05/26;;14h00;;Local: Ginásio José Elias de Proença;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 065;;;;AE CAPÃO BONITO;;;;;;;;vs;SC PAULINENSE;;;;;;;;;;;;;;;;;
03/05/26;;08h30;;Local: Centro Esportivo Mané Garrincha (Ibirapuera);;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 066;;;;ASTROS/INDIANO;;;;;;;;vs;C13 ESPORTES;;;;;;;;;;;;;;;;;
03/05/26;;08h30;;Local: Ginásio Toca do Tigre;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 067;;;;ADEF;;;;;;;;vs;INST FAMÍLIA/LORENA;;;;;;;;;;;;;;;;;
03/05/26;;15h00;;Local: Ginásio CIE Pietra Medeiros;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 068;;;;CFAF/TABOÃO;;;;;;;;vs;"SELECIONADOS ""B""";;;;;;;;;;;;;;;;;
AE RAPOSAS DA LESTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3ª RODADA - Grupo C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/05/26;;8h30;;Local: Ginásio Poliesportivo Victor Savala;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 069;;;;PROSPERE HORTOLÂNDIA;;;;;;;;vs;EF ATLÉTICO MANGALOT;;;;;;;;;;;;;;;;;
02/05/26;;14h30;;Local: Ginásio do GE Mauaense;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 070;;;;A UNIÃO MAUÁ;;;;;;;;vs;ABESC/CAÇAPAVA FUTSAL;;;;;;;;;;;;;;;;;
02/05/26;;8h30;;Local: Ginásio Presidente Ciro I;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 071;;;;ACAP;;;;;;;;vs;AE FUTMAX;;;;;;;;;;;;;;;;;
02/05/26;;14h30;;Local: Arena SEECLAG;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 072;;;;AD GALATA;;;;;;;;vs;OCIAN PRAIA CLUBE/AJR;;;;;;;;;;;;;;;;;
03/05/26;;13h00;;Local: Ginásio do CDC Ipasure;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 073;;;;ROSA NEGRA/IPASURE;;;;;;;;vs;AA FERROVIÁRIA/SEMELP PINDA;;;;;;;;;;;;;;;;;
03/05/26;;14h30;;Local: Ginásio Ernesto Diogo de Farias;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 074;;;;EF ATLÉTICO MANGALOT;;;;;;;;vs;KILOUKURA FUTSAL;;;;;;;;;;;;;;;;;
03/05/26;;14h30;;Local: Arena CTC Vila Ema;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 075;;;;AE DISCÍPULOS DO FUTSAL;;;;;;;;vs;AEC INCRÍVEIS;;;;;;;;;;;;;;;;;
5ª RODADA - Grupo A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/05/26;;08h30;;Local: Ginásio do Colégio Santa Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 076;;;;A LIGA LESTE;;;;;;;;vs;ITAPEVI/LAIFS/SEL;;;;;;;;;;;;;;;;;
09/05/26;;08h30;;Local: Ginásio Presidente Ciro I;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 077;;;;ADC LAZULI;;;;;;;;vs;AECT BOLA NO PÉ;;;;;;;;;;;;;;;;;
09/05/26;;14h00;;Local:  Ginásio José Aparecido Franco - Atibaia Jardim;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 078;;;;ATIBAIA FUTSAL;;;;;;;;vs;LIGA SOROCABANA/KGB FUTSAL;;;;;;;;;;;;;;;;;
09/05/26;;14h00;;Local: Ginásio Educamais;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 079;;;;AA ALIANÇA/JACAREÍ;;;;;;;;vs;AA CAMILÓPOLIS;;;;;;;;;;;;;;;;;
09/05/26;;14h30;;Local:  Arena Guarulhense;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 080;;;;GUARULHENSE;;;;;;;;vs;MX7 FUTSAL;;;;;;;;;;;;;;;;;
09/05/26;;14h30;;Local: Ginásio CEU Jd Cumbica - Guarulhos;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 081;;;;AE CHUTE FUTSAL;;;;;;;;vs;CTC VILA EMA;;;;;;;;;;;;;;;;;
10/05/26;;14h30;;Local: Ginásio CDC Unileste;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 082;;;;UNILESTE/PONTO DE ENCONTRO;;;;;;;;vs;AA FLAMENGO;;;;;;;;;;;;;;;;;
CA DESPORTIVO SOROCABA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5ª RODADA - Grupo B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/05/26;;14h30;;Local: Ginásio Rubens Batazza - Bragança Paulista;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 083;;;;JUBA FUTSAL;;;;;;;;vs;AE CAPÃO BONITO;;;;;;;;;;;;;;;;;
09/05/26;;14h30;;Local: Ginásio dos Securitários;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 084;;;;C13 ESPORTES;;;;;;;;vs;AD OLIMPIK;;;;;;;;;;;;;;;;;
09/05/26;;14h30;;Local: Arena Conde;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 085;;;;"SELECIONADOS ""B""";;;;;;;;vs;ADEF;;;;;;;;;;;;;;;;;
10/05/26;;08h30;;Local: Ginásio dos Securitários;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 086;;;;INST BONS DE BOLA;;;;;;;;vs;ASTROS/INDIANO;;;;;;;;;;;;;;;;;
10/05/26;;14h00;;Local: Ginásio Cidade Nova - Pindamonhangaba;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 087;;;;INST FAMÍLIA/LORENA;;;;;;;;vs;TABOÃO F9;;;;;;;;;;;;;;;;;
10/05/26;;14h30;;Local: Arena Conde;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 088;;;;AE METRÓPOLE;;;;;;;;vs;CFAF/TABOÃO;;;;;;;;;;;;;;;;;
10/05/26;;14h30;;Local: Arena Guarulhense;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 089;;;;AE RAPOSAS DA LESTE;;;;;;;;vs;AE FRIBURGO;;;;;;;;;;;;;;;;;
SC PAULINENSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4ª RODADA - Grupo C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
